medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,event,country,sport
Gold,1,,PATSKEVICH A,PATSKEVICH Aleksandra,W,../../../en/results/artistic-swimming/athlete-profile-n1431700-patskevich-aleksandra.htm,ROC,Team,ROC,Artistic Swimming
Gold,1,,SHISHKINA A,SHISHKINA Alla,W,../../../en/results/artistic-swimming/athlete-profile-n1431701-shishkina-alla.htm,ROC,Team,ROC,Artistic Swimming
Gold,1,,CHIGIREVA V,CHIGIREVA Vlada,W,../../../en/results/artistic-swimming/athlete-profile-n1431702-chigireva-vlada.htm,ROC,Team,ROC,Artistic Swimming
Gold,1,,GOLIADKINA M,GOLIADKINA Marina,W,../../../en/results/artistic-swimming/athlete-profile-n1431703-goliadkina-marina.htm,ROC,Team,ROC,Artistic Swimming
Gold,1,,KOMAR P,KOMAR Polina,W,../../../en/results/artistic-swimming/athlete-profile-n1431704-komar-polina.htm,ROC,Team,ROC,Artistic Swimming
Gold,1,,SHUROCHKINA M,SHUROCHKINA Maria,W,../../../en/results/artistic-swimming/athlete-profile-n1431708-shurochkina-maria.htm,ROC,Team,ROC,Artistic Swimming
Silver,2,,SUN W,SUN Wenyan,W,../../../en/results/artistic-swimming/athlete-profile-n1380672-sun-wenyan.htm,CHN,Team,People's Republic of China,Artistic Swimming
Silver,2,,FENG Y,FENG Yu,W,../../../en/results/artistic-swimming/athlete-profile-n1305105-feng-yu.htm,CHN,Team,People's Republic of China,Artistic Swimming
Silver,2,,HUANG X,HUANG Xuechen,W,../../../en/results/artistic-swimming/athlete-profile-n1380677-huang-xuechen.htm,CHN,Team,People's Republic of China,Artistic Swimming
Silver,2,,GUO L,GUO Li,W,../../../en/results/artistic-swimming/athlete-profile-n1380680-guo-li.htm,CHN,Team,People's Republic of China,Artistic Swimming
Silver,2,,LIANG X,LIANG Xinping,W,../../../en/results/artistic-swimming/athlete-profile-n1380685-liang-xinping.htm,CHN,Team,People's Republic of China,Artistic Swimming
Silver,2,,YIN C,YIN Chengxin,W,../../../en/results/artistic-swimming/athlete-profile-n1380687-yin-chengxin.htm,CHN,Team,People's Republic of China,Artistic Swimming
Silver,2,,XIAO Y,XIAO Yanning,W,../../../en/results/artistic-swimming/athlete-profile-n1380690-xiao-yanning.htm,CHN,Team,People's Republic of China,Artistic Swimming
Silver,2,,WANG Q,WANG Qianyi,W,../../../en/results/artistic-swimming/athlete-profile-n1380692-wang-qianyi.htm,CHN,Team,People's Republic of China,Artistic Swimming
Bronze,3,,FIEDINA M,FIEDINA Marta,W,../../../en/results/artistic-swimming/athlete-profile-n1449828-fiedina-marta.htm,UKR,Team,Ukraine,Artistic Swimming
Bronze,3,,YAKHNO Y,YAKHNO Yelyzaveta,W,../../../en/results/artistic-swimming/athlete-profile-n1449829-yakhno-yelyzaveta.htm,UKR,Team,Ukraine,Artistic Swimming
Bronze,3,,ALEKSIIVA V,ALEKSIIVA Vladyslava,W,../../../en/results/artistic-swimming/athlete-profile-n1449830-aleksiiva-vladyslava.htm,UKR,Team,Ukraine,Artistic Swimming
Bronze,3,,ALEKSIIVA M,ALEKSIIVA Maryna,W,../../../en/results/artistic-swimming/athlete-profile-n1449831-aleksiiva-maryna.htm,UKR,Team,Ukraine,Artistic Swimming
Bronze,3,,REZNIK K,REZNIK Kateryna,W,../../../en/results/artistic-swimming/athlete-profile-n1449832-reznik-kateryna.htm,UKR,Team,Ukraine,Artistic Swimming
Bronze,3,,SHYNKARENKO A,SHYNKARENKO Alina,W,../../../en/results/artistic-swimming/athlete-profile-n1449833-shynkarenko-alina.htm,UKR,Team,Ukraine,Artistic Swimming
Bronze,3,,SYDORENKO K,SYDORENKO Kseniya,W,../../../en/results/artistic-swimming/athlete-profile-n1449838-sydorenko-kseniya.htm,UKR,Team,Ukraine,Artistic Swimming
Bronze,3,,SAVCHUK A,SAVCHUK Anastasiya,W,../../../en/results/artistic-swimming/athlete-profile-n1449827-savchuk-anastasiya.htm,UKR,Team,Ukraine,Artistic Swimming
Gold,1,,INGEBRIGTSEN J,INGEBRIGTSEN Jakob,M,../../../en/results/athletics/athlete-profile-n1343559-ingebrigtsen-jakob.htm,NOR,Men's 1500m,Norway,Athletics
Silver,2,,CHERUIYOT T,CHERUIYOT Timothy,M,../../../en/results/athletics/athlete-profile-n1402379-cheruiyot-timothy.htm,KEN,Men's 1500m,Kenya,Athletics
Bronze,3,,KERR J,KERR Josh,M,../../../en/results/athletics/athlete-profile-n1477758-kerr-josh.htm,GBR,Men's 1500m,Great Britain,Athletics
Gold,1,,ROSS R,ROSS Randolph,M,../../../en/results/athletics/athlete-profile-n1878054-ross-randolph.htm,USA,Men's 4 x 400m Relay,United States of America,Athletics
Gold,1,,BENJAMIN R,BENJAMIN Rai,M,../../../en/results/athletics/athlete-profile-n1458826-benjamin-rai.htm,USA,Men's 4 x 400m Relay,United States of America,Athletics
Gold,1,,STEWART T,STEWART Trevor,M,../../../en/results/athletics/athlete-profile-n1459077-stewart-trevor.htm,USA,Men's 4 x 400m Relay,United States of America,Athletics
Gold,1,,NORWOOD V,NORWOOD Vernon,M,../../../en/results/athletics/athlete-profile-n1459111-norwood-vernon.htm,USA,Men's 4 x 400m Relay,United States of America,Athletics
Gold,1,,DEADMON B,DEADMON Bryce,M,../../../en/results/athletics/athlete-profile-n1453059-deadmon-bryce.htm,USA,Men's 4 x 400m Relay,United States of America,Athletics
Gold,1,,CHERRY M,CHERRY Michael,M,../../../en/results/athletics/athlete-profile-n1458682-cherry-michael.htm,USA,Men's 4 x 400m Relay,United States of America,Athletics
Gold,1,,NORMAN M,NORMAN Michael,M,../../../en/results/athletics/athlete-profile-n1458689-norman-michael.htm,USA,Men's 4 x 400m Relay,United States of America,Athletics
Silver,2,,van DIEPEN T,van DIEPEN Tony,M,../../../en/results/athletics/athlete-profile-n1476269-van-diepen-tony.htm,NED,Men's 4 x 400m Relay,Netherlands,Athletics
Silver,2,,AGARD T,AGARD Terrence,M,../../../en/results/athletics/athlete-profile-n1476195-agard-terrence.htm,NED,Men's 4 x 400m Relay,Netherlands,Athletics
Silver,2,,ANGELA R,ANGELA Ramsey,M,../../../en/results/athletics/athlete-profile-n1476197-angela-ramsey.htm,NED,Men's 4 x 400m Relay,Netherlands,Athletics
Silver,2,,BONEVACIA L,BONEVACIA Liemarvin,M,../../../en/results/athletics/athlete-profile-n1476202-bonevacia-liemarvin.htm,NED,Men's 4 x 400m Relay,Netherlands,Athletics
Silver,2,,DOBBER J,DOBBER Jochem,M,../../../en/results/athletics/athlete-profile-n1476217-dobber-jochem.htm,NED,Men's 4 x 400m Relay,Netherlands,Athletics
Bronze,3,,MAKWALA I,MAKWALA Isaac,M,../../../en/results/athletics/athlete-profile-n1352856-makwala-isaac.htm,BOT,Men's 4 x 400m Relay,Botswana,Athletics
Bronze,3,,NGOZI Z,NGOZI Zibane,M,../../../en/results/athletics/athlete-profile-n1352876-ngozi-zibane.htm,BOT,Men's 4 x 400m Relay,Botswana,Athletics
Bronze,3,,THEBE B,THEBE Baboloki,M,../../../en/results/athletics/athlete-profile-n1350888-thebe-baboloki.htm,BOT,Men's 4 x 400m Relay,Botswana,Athletics
Bronze,3,,NDORI B,NDORI Bayapo,M,../../../en/results/athletics/athlete-profile-n1742375-ndori-bayapo.htm,BOT,Men's 4 x 400m Relay,Botswana,Athletics
Gold,1,,CHOPRA N,CHOPRA Neeraj,M,../../../en/results/athletics/athlete-profile-n1305544-chopra-neeraj.htm,IND,Men's Javelin Throw,India,Athletics
Silver,2,,VADLEJCH J,VADLEJCH Jakub,M,../../../en/results/athletics/athlete-profile-n1408053-vadlejch-jakub.htm,CZE,Men's Javelin Throw,Czech Republic,Athletics
Bronze,3,,VESELY V,VESELY Vitezslav,M,../../../en/results/athletics/athlete-profile-n1408055-vesely-vitezslav.htm,CZE,Men's Javelin Throw,Czech Republic,Athletics
Gold,1,,HASSAN S,HASSAN Sifan,W,../../../en/results/athletics/athlete-profile-n1476183-hassan-sifan.htm,NED,"Women's 10,000m",Netherlands,Athletics
Silver,2,,GEZAHEGNE K,GEZAHEGNE Kalkidan,W,../../../en/results/athletics/athlete-profile-n1337208-gezahegne-kalkidan.htm,BRN,"Women's 10,000m",Bahrain,Athletics
Bronze,3,,GIDEY L,GIDEY Letesenbet,W,../../../en/results/athletics/athlete-profile-n1352037-gidey-letesenbet.htm,ETH,"Women's 10,000m",Ethiopia,Athletics
Gold,1,,WHITNEY K,WHITNEY Kaylin,W,../../../en/results/athletics/athlete-profile-n1458409-whitney-kaylin.htm,USA,Women's 4 x 400m Relay,United States of America,Athletics
Gold,1,,ELLIS K,ELLIS Kendall,W,../../../en/results/athletics/athlete-profile-n1458420-ellis-kendall.htm,USA,Women's 4 x 400m Relay,United States of America,Athletics
Gold,1,,MUHAMMAD D,MUHAMMAD Dalilah,W,../../../en/results/athletics/athlete-profile-n1453236-muhammad-dalilah.htm,USA,Women's 4 x 400m Relay,United States of America,Athletics
Gold,1,,McLAUGHLIN S,McLAUGHLIN Sydney,W,../../../en/results/athletics/athlete-profile-n1458998-mclaughlin-sydney.htm,USA,Women's 4 x 400m Relay,United States of America,Athletics
Gold,1,,IRBY L,IRBY Lynna,W,../../../en/results/athletics/athlete-profile-n1470823-irby-lynna.htm,USA,Women's 4 x 400m Relay,United States of America,Athletics
Gold,1,,JONATHAS W,JONATHAS Wadeline,W,../../../en/results/athletics/athlete-profile-n1459123-jonathas-wadeline.htm,USA,Women's 4 x 400m Relay,United States of America,Athletics
Gold,1,,MU A,MU Athing,W,../../../en/results/athletics/athlete-profile-n1363228-mu-athing.htm,USA,Women's 4 x 400m Relay,United States of America,Athletics
Gold,1,,FELIX A,FELIX Allyson,W,../../../en/results/athletics/athlete-profile-n1363172-felix-allyson.htm,USA,Women's 4 x 400m Relay,United States of America,Athletics
Silver,2,,HOLUB-KOWALIK M,HOLUB-KOWALIK Malgorzata,W,../../../en/results/athletics/athlete-profile-n1382451-holub-kowalik-malgorzata.htm,POL,Women's 4 x 400m Relay,Poland,Athletics
Silver,2,,KIELBASINSKA A,KIELBASINSKA Anna,W,../../../en/results/athletics/athlete-profile-n1324396-kielbasinska-anna.htm,POL,Women's 4 x 400m Relay,Poland,Athletics
Silver,2,,SWIETY-ERSETIC J,SWIETY-ERSETIC Justyna,W,../../../en/results/athletics/athlete-profile-n1324419-swiety-ersetic-justyna.htm,POL,Women's 4 x 400m Relay,Poland,Athletics
Silver,2,,BAUMGART-WITAN I,BAUMGART-WITAN Iga,W,../../../en/results/athletics/athlete-profile-n1324477-baumgart-witan-iga.htm,POL,Women's 4 x 400m Relay,Poland,Athletics
Silver,2,,KACZMAREK N,KACZMAREK Natalia,W,../../../en/results/athletics/athlete-profile-n1324446-kaczmarek-natalia.htm,POL,Women's 4 x 400m Relay,Poland,Athletics
Bronze,3,,BROMFIELD J,BROMFIELD Junelle,W,../../../en/results/athletics/athlete-profile-n1897510-bromfield-junelle.htm,JAM,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze,3,,JACKSON S,JACKSON Shericka,W,../../../en/results/athletics/athlete-profile-n1437545-jackson-shericka.htm,JAM,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze,3,,RUSSELL J,RUSSELL Janieve,W,../../../en/results/athletics/athlete-profile-n1437848-russell-janieve.htm,JAM,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze,3,,WILLIAMS SA,WILLIAMS Stacey Ann,W,../../../en/results/athletics/athlete-profile-n1444887-williams-stacey-ann.htm,JAM,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze,3,,McGREGOR R,McGREGOR Roneisha,W,../../../en/results/athletics/athlete-profile-n1412278-mcgregor-roneisha.htm,JAM,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze,3,,McLEOD C,McLEOD Candice,W,../../../en/results/athletics/athlete-profile-n1412279-mcleod-candice.htm,JAM,Women's 4 x 400m Relay,Jamaica,Athletics
Gold,1,,LASITSKENE M,LASITSKENE Mariya,W,../../../en/results/athletics/athlete-profile-n1431110-lasitskene-mariya.htm,ROC,Women's High Jump,ROC,Athletics
Silver,2,,McDERMOTT N,McDERMOTT Nicola,W,../../../en/results/athletics/athlete-profile-n1481542-mcdermott-nicola.htm,AUS,Women's High Jump,,Athletics
Bronze,3,,MAHUCHIKH Y,MAHUCHIKH Yaroslava,W,../../../en/results/athletics/athlete-profile-n1444761-mahuchikh-yaroslava.htm,UKR,Women's High Jump,Ukraine,Athletics
Gold,1,,JEPCHIRCHIR P,JEPCHIRCHIR Peres,W,../../../en/results/athletics/athlete-profile-n1459329-jepchirchir-peres.htm,KEN,Women's Marathon,Kenya,Athletics
Silver,2,,KOSGEI B,KOSGEI Brigid,W,../../../en/results/athletics/athlete-profile-n1337375-kosgei-brigid.htm,KEN,Women's Marathon,Kenya,Athletics
Bronze,3,,SEIDEL M,SEIDEL Molly,W,../../../en/results/athletics/athlete-profile-n1460816-seidel-molly.htm,USA,Women's Marathon,United States of America,Athletics
Gold,1,,SAKAMOTO H,SAKAMOTO Hayato,M,../../../en/results/baseball-softball/athlete-profile-n1336363-sakamoto-hayato.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,YAMASAKI Y,YAMASAKI Yasuaki,M,../../../en/results/baseball-softball/athlete-profile-n1336369-yamasaki-yasuaki.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,IWAZAKI S,IWAZAKI Suguru,M,../../../en/results/baseball-softball/athlete-profile-n1336379-iwazaki-suguru.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,UMENO R,UMENO Ryutaro,M,../../../en/results/baseball-softball/athlete-profile-n1336380-umeno-ryutaro.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,MORISHITA M,MORISHITA Masato,M,../../../en/results/baseball-softball/athlete-profile-n1336385-morishita-masato.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,KIKUCHI R,KIKUCHI Ryosuke,M,../../../en/results/baseball-softball/athlete-profile-n1336389-kikuchi-ryosuke.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,SUZUKI S,SUZUKI Seiya,M,../../../en/results/baseball-softball/athlete-profile-n1336392-suzuki-seiya.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,OHNO Y,OHNO Yudai,M,../../../en/results/baseball-softball/athlete-profile-n1336400-ohno-yudai.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,YAMADA T,YAMADA Tetsuto,M,../../../en/results/baseball-softball/athlete-profile-n1336407-yamada-tetsuto.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,MURAKAMI M,MURAKAMI Munetaka,M,../../../en/results/baseball-softball/athlete-profile-n1336408-murakami-munetaka.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,GENDA S,GENDA Sosuke,M,../../../en/results/baseball-softball/athlete-profile-n1336421-genda-sosuke.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,TAIRA K,TAIRA Kaima,M,../../../en/results/baseball-softball/athlete-profile-n1336422-taira-kaima.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,SENGA K,SENGA Koudai,M,../../../en/results/baseball-softball/athlete-profile-n1336429-senga-koudai.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,KAI T,KAI Takuya,M,../../../en/results/baseball-softball/athlete-profile-n1336432-kai-takuya.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,YANAGITA Y,YANAGITA Yuki,M,../../../en/results/baseball-softball/athlete-profile-n1336437-yanagita-yuki.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,KONDOH K,KONDOH Kensuke,M,../../../en/results/baseball-softball/athlete-profile-n1336458-kondoh-kensuke.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,ASAMURA H,ASAMURA Hideto,M,../../../en/results/baseball-softball/athlete-profile-n1336466-asamura-hideto.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,YAMAMOTO Y,YAMAMOTO Yoshinobu,M,../../../en/results/baseball-softball/athlete-profile-n1336474-yamamoto-yoshinobu.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,YOSHIDA M,YOSHIDA Masataka,M,../../../en/results/baseball-softball/athlete-profile-n1336483-yoshida-masataka.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,AOYAGI K,AOYAGI Koyo,M,../../../en/results/baseball-softball/athlete-profile-n1446735-aoyagi-koyo.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,KURIBAYASHI R,KURIBAYASHI Ryoji,M,../../../en/results/baseball-softball/athlete-profile-n1446742-kuribayashi-ryoji.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,KURIHARA R,KURIHARA Ryoya,M,../../../en/results/baseball-softball/athlete-profile-n1446763-kurihara-ryoya.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,ITOH H,ITOH Hiromi,M,../../../en/results/baseball-softball/athlete-profile-n1446766-itoh-hiromi.htm,JPN,Baseball,Japan,Baseball/Softball
Gold,1,,TANAKA M,TANAKA Masahiro,M,../../../en/results/baseball-softball/athlete-profile-n1446772-tanaka-masahiro.htm,JPN,Baseball,Japan,Baseball/Softball
Silver,2,,CARTER A,CARTER Anthony,M,../../../en/results/baseball-softball/athlete-profile-n1460094-carter-anthony.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,DICKSON B,DICKSON Brandon,M,../../../en/results/baseball-softball/athlete-profile-n1460102-dickson-brandon.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,ROBERTSON D,ROBERTSON David,M,../../../en/results/baseball-softball/athlete-profile-n1460123-robertson-david.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,ALVAREZ E,ALVAREZ Eddy,M,../../../en/results/baseball-softball/athlete-profile-n1460131-alvarez-eddy.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,JACKSON JR E,JACKSON JR Edwin,M,../../../en/results/baseball-softball/athlete-profile-n1460132-jackson-jr-edwin.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,MARTINEZ N,MARTINEZ Nick,M,../../../en/results/baseball-softball/athlete-profile-n1460183-martinez-nick.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,FRAZIER T,FRAZIER Todd,M,../../../en/results/baseball-softball/athlete-profile-n1460209-frazier-todd.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,CASAS T,CASAS Triston,M,../../../en/results/baseball-softball/athlete-profile-n1460213-casas-triston.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,FILIA E,FILIA Eric,M,../../../en/results/baseball-softball/athlete-profile-n1471415-filia-eric.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,FEDEROWICZ T,FEDEROWICZ Tim,M,../../../en/results/baseball-softball/athlete-profile-n1471436-federowicz-tim.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,ALLEN N,ALLEN Nick,M,../../../en/results/baseball-softball/athlete-profile-n1888994-allen-nick.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,WESTBROOK J,WESTBROOK Jamie,M,../../../en/results/baseball-softball/athlete-profile-n1888995-westbrook-jamie.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,KOLOZSVARY M,KOLOZSVARY Mark,M,../../../en/results/baseball-softball/athlete-profile-n1888996-kolozsvary-mark.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,AUSTIN T,AUSTIN Tyler,M,../../../en/results/baseball-softball/athlete-profile-n1888997-austin-tyler.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,WOODS RICHARDSON S,WOODS RICHARDSON Simeon,M,../../../en/results/baseball-softball/athlete-profile-n1888998-woods-richardson-simeon.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,RYAN J,RYAN Joe,M,../../../en/results/baseball-softball/athlete-profile-n1888999-ryan-joe.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,BAZ S,BAZ Shane,M,../../../en/results/baseball-softball/athlete-profile-n1889000-baz-shane.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,STARLING B,STARLING Bubba,M,../../../en/results/baseball-softball/athlete-profile-n1889001-starling-bubba.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,LOPEZ J,LOPEZ Jack,M,../../../en/results/baseball-softball/athlete-profile-n1889003-lopez-jack.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,GOSE A,GOSE Anthony,M,../../../en/results/baseball-softball/athlete-profile-n1889004-gose-anthony.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,KAZMIR S,KAZMIR Scott,M,../../../en/results/baseball-softball/athlete-profile-n1889005-kazmir-scott.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,McGOUGH S,McGOUGH Scott,M,../../../en/results/baseball-softball/athlete-profile-n1889006-mcgough-scott.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,KIVLEHAN P,KIVLEHAN Patrick,M,../../../en/results/baseball-softball/athlete-profile-n1889209-kivlehan-patrick.htm,USA,Baseball,United States of America,Baseball/Softball
Silver,2,,RYAN R,RYAN Ryder,M,../../../en/results/baseball-softball/athlete-profile-n1889210-ryan-ryder.htm,USA,Baseball,United States of America,Baseball/Softball
Bronze,3,,GARCIA J,GARCIA Junior,M,../../../en/results/baseball-softball/athlete-profile-n1896475-garcia-junior.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,CASTILLO L,CASTILLO Luis,M,../../../en/results/baseball-softball/athlete-profile-n1896502-castillo-luis.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,MIESES J,MIESES Johan,M,../../../en/results/baseball-softball/athlete-profile-n1896503-mieses-johan.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,RODRIGUEZ J,RODRIGUEZ Julio,M,../../../en/results/baseball-softball/athlete-profile-n1896504-rodriguez-julio.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,ROSSO R,ROSSO Ramon,M,../../../en/results/baseball-softball/athlete-profile-n1896507-rosso-ramon.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,VALDES R,VALDES Raul,M,../../../en/results/baseball-softball/athlete-profile-n1896508-valdes-raul.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,BALDWIN R,BALDWIN Roldani,M,../../../en/results/baseball-softball/athlete-profile-n1896512-baldwin-roldani.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,SANCHEZ A,SANCHEZ Angel,M,../../../en/results/baseball-softball/athlete-profile-n1899275-sanchez-angel.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,MERCEDES C,MERCEDES Cristopher,M,../../../en/results/baseball-softball/athlete-profile-n1899278-mercedes-cristopher.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,ALVAREZ D,ALVAREZ Dario,M,../../../en/results/baseball-softball/athlete-profile-n1443717-alvarez-dario.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,ARIAS G,ARIAS Gabriel,M,../../../en/results/baseball-softball/athlete-profile-n1443720-arias-gabriel.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,ASENCIO J,ASENCIO Jairo,M,../../../en/results/baseball-softball/athlete-profile-n1443724-asencio-jairo.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,CABRERA M,CABRERA Melky,M,../../../en/results/baseball-softball/athlete-profile-n1443737-cabrera-melky.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,PEREZ Y,PEREZ Yefri,M,../../../en/results/baseball-softball/athlete-profile-n1443761-perez-yefri.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,MARINEZ J,MARINEZ Jhan,M,../../../en/results/baseball-softball/athlete-profile-n1443879-marinez-jhan.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,NUNEZ G,NUNEZ Gustavo,M,../../../en/results/baseball-softball/athlete-profile-n1443898-nunez-gustavo.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,VALERIO C,VALERIO Charlie,M,../../../en/results/baseball-softball/athlete-profile-n1443962-valerio-charlie.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,GUZMAN J,GUZMAN Jeison,M,../../../en/results/baseball-softball/athlete-profile-n1444098-guzman-jeison.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,MEJIA E,MEJIA Erick,M,../../../en/results/baseball-softball/athlete-profile-n1444228-mejia-erick.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,REYES D,REYES Denyi,M,../../../en/results/baseball-softball/athlete-profile-n1444287-reyes-denyi.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,BAUTISTA J,BAUTISTA Jose,M,../../../en/results/baseball-softball/athlete-profile-n1444375-bautista-jose.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,BONIFACIO E,BONIFACIO Emilio,M,../../../en/results/baseball-softball/athlete-profile-n1444376-bonifacio-emilio.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,DIAZ J,DIAZ Jose,M,../../../en/results/baseball-softball/athlete-profile-n1444389-diaz-jose.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Bronze,3,,FRANCISCO J,FRANCISCO Juan,M,../../../en/results/baseball-softball/athlete-profile-n1444395-francisco-juan.htm,DOM,Baseball,Dominican Republic,Baseball/Softball
Gold,1,,MCGEE J,MCGEE Javale,M,../../../en/results/basketball/athlete-profile-n1312792-mcgee-javale.htm,USA,Men,United States of America,Basketball
Gold,1,,MIDDLETON K,MIDDLETON Khris,M,../../../en/results/basketball/athlete-profile-n1312793-middleton-khris.htm,USA,Men,United States of America,Basketball
Gold,1,,TATUM J,TATUM Jayson,M,../../../en/results/basketball/athlete-profile-n1312794-tatum-jayson.htm,USA,Men,United States of America,Basketball
Gold,1,,DURANT K,DURANT Kevin,M,../../../en/results/basketball/athlete-profile-n1312797-durant-kevin.htm,USA,Men,United States of America,Basketball
Gold,1,,BOOKER D,BOOKER Devin,M,../../../en/results/basketball/athlete-profile-n1312771-booker-devin.htm,USA,Men,United States of America,Basketball
Gold,1,,GREEN D,GREEN Draymond,M,../../../en/results/basketball/athlete-profile-n1312774-green-draymond.htm,USA,Men,United States of America,Basketball
Gold,1,,LILLARD D,LILLARD Damian,M,../../../en/results/basketball/athlete-profile-n1312776-lillard-damian.htm,USA,Men,United States of America,Basketball
Gold,1,,GRANT J,GRANT Jerami,M,../../../en/results/basketball/athlete-profile-n1451325-grant-jerami.htm,USA,Men,United States of America,Basketball
Gold,1,,LAVINE Z,LAVINE Zach,M,../../../en/results/basketball/athlete-profile-n1451355-lavine-zach.htm,USA,Men,United States of America,Basketball
Gold,1,,HOLIDAY J,HOLIDAY Jrue,M,../../../en/results/basketball/athlete-profile-n1471400-holiday-jrue.htm,USA,Men,United States of America,Basketball
Gold,1,,JOHNSON K,JOHNSON Keldon,M,../../../en/results/basketball/athlete-profile-n1918055-johnson-keldon.htm,USA,Men,United States of America,Basketball
Gold,1,,ADEBAYO B,ADEBAYO Bam,M,../../../en/results/basketball/athlete-profile-n1312780-adebayo-bam.htm,USA,Men,United States of America,Basketball
Silver,2,,CORNELIE P,CORNELIE Petr,M,../../../en/results/basketball/athlete-profile-n1891958-cornelie-petr.htm,FRA,Men,France,Basketball
Silver,2,,ALBICY A,ALBICY Andrew,M,../../../en/results/basketball/athlete-profile-n1337826-albicy-andrew.htm,FRA,Men,France,Basketball
