medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
Gold Medal,1,2021-08-07 00:00:00.0,IRBY L,IRBY Lynna,W,../../../en/results/athletics/athlete-profile-n1470823-irby-lynna.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,2021-08-07 00:00:00.0,JONATHAS W,JONATHAS Wadeline,W,../../../en/results/athletics/athlete-profile-n1459123-jonathas-wadeline.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,2021-08-07 00:00:00.0,MU A,MU Athing,W,../../../en/results/athletics/athlete-profile-n1363228-mu-athing.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,2021-08-07 00:00:00.0,FELIX A,FELIX Allyson,W,../../../en/results/athletics/athlete-profile-n1363172-felix-allyson.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
Silver Medal,2,2021-08-07 00:00:00.0,HOLUB-KOWALIK M,HOLUB-KOWALIK Malgorzata,W,../../../en/results/athletics/athlete-profile-n1382451-holub-kowalik-malgorzata.htm,POL,ATH,Women's 4 x 400m Relay,Poland,Athletics
Silver Medal,2,2021-08-07 00:00:00.0,KIELBASINSKA A,KIELBASINSKA Anna,W,../../../en/results/athletics/athlete-profile-n1324396-kielbasinska-anna.htm,POL,ATH,Women's 4 x 400m Relay,Poland,Athletics
Silver Medal,2,2021-08-07 00:00:00.0,SWIETY-ERSETIC J,SWIETY-ERSETIC Justyna,W,../../../en/results/athletics/athlete-profile-n1324419-swiety-ersetic-justyna.htm,POL,ATH,Women's 4 x 400m Relay,Poland,Athletics
Silver Medal,2,2021-08-07 00:00:00.0,BAUMGART-WITAN I,BAUMGART-WITAN Iga,W,../../../en/results/athletics/athlete-profile-n1324477-baumgart-witan-iga.htm,POL,ATH,Women's 4 x 400m Relay,Poland,Athletics
Silver Medal,2,2021-08-07 00:00:00.0,KACZMAREK N,KACZMAREK Natalia,W,../../../en/results/athletics/athlete-profile-n1324446-kaczmarek-natalia.htm,POL,ATH,Women's 4 x 400m Relay,Poland,Athletics
Bronze Medal,3,2021-08-07 00:00:00.0,BROMFIELD J,BROMFIELD Junelle,W,../../../en/results/athletics/athlete-profile-n1897510-bromfield-junelle.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,2021-08-07 00:00:00.0,JACKSON S,JACKSON Shericka,W,../../../en/results/athletics/athlete-profile-n1437545-jackson-shericka.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,2021-08-07 00:00:00.0,RUSSELL J,RUSSELL Janieve,W,../../../en/results/athletics/athlete-profile-n1437848-russell-janieve.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,2021-08-07 00:00:00.0,WILLIAMS SA,WILLIAMS Stacey Ann,W,../../../en/results/athletics/athlete-profile-n1444887-williams-stacey-ann.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,2021-08-07 00:00:00.0,McGREGOR R,McGREGOR Roneisha,W,../../../en/results/athletics/athlete-profile-n1412278-mcgregor-roneisha.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,2021-08-07 00:00:00.0,McLEOD C,McLEOD Candice,W,../../../en/results/athletics/athlete-profile-n1412279-mcleod-candice.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
Gold Medal,1,2021-08-07 00:00:00.0,LASITSKENE M,LASITSKENE Mariya,W,../../../en/results/athletics/athlete-profile-n1431110-lasitskene-mariya.htm,ROC,ATH,Women's High Jump,ROC,Athletics
Silver Medal,2,2021-08-07 00:00:00.0,McDERMOTT N,McDERMOTT Nicola,W,../../../en/results/athletics/athlete-profile-n1481542-mcdermott-nicola.htm,AUS,ATH,Women's High Jump,,Athletics
Bronze Medal,3,2021-08-07 00:00:00.0,MAHUCHIKH Y,MAHUCHIKH Yaroslava,W,../../../en/results/athletics/athlete-profile-n1444761-mahuchikh-yaroslava.htm,UKR,ATH,Women's High Jump,Ukraine,Athletics
Gold Medal,1,2021-08-07 00:00:00.0,JEPCHIRCHIR P,JEPCHIRCHIR Peres,W,../../../en/results/athletics/athlete-profile-n1459329-jepchirchir-peres.htm,KEN,ATH,Women's Marathon,Kenya,Athletics
Silver Medal,2,2021-08-07 00:00:00.0,KOSGEI B,KOSGEI Brigid,W,../../../en/results/athletics/athlete-profile-n1337375-kosgei-brigid.htm,KEN,ATH,Women's Marathon,Kenya,Athletics
Bronze Medal,3,2021-08-07 00:00:00.0,SEIDEL M,SEIDEL Molly,W,../../../en/results/athletics/athlete-profile-n1460816-seidel-molly.htm,USA,ATH,Women's Marathon,United States of America,Athletics
Gold Medal,1,2021-08-07 00:00:00.0,SAKAMOTO H,SAKAMOTO Hayato,M,../../../en/results/baseball-softball/athlete-profile-n1336363-sakamoto-hayato.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,YAMASAKI Y,YAMASAKI Yasuaki,M,../../../en/results/baseball-softball/athlete-profile-n1336369-yamasaki-yasuaki.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,IWAZAKI S,IWAZAKI Suguru,M,../../../en/results/baseball-softball/athlete-profile-n1336379-iwazaki-suguru.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,UMENO R,UMENO Ryutaro,M,../../../en/results/baseball-softball/athlete-profile-n1336380-umeno-ryutaro.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,MORISHITA M,MORISHITA Masato,M,../../../en/results/baseball-softball/athlete-profile-n1336385-morishita-masato.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,KIKUCHI R,KIKUCHI Ryosuke,M,../../../en/results/baseball-softball/athlete-profile-n1336389-kikuchi-ryosuke.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,SUZUKI S,SUZUKI Seiya,M,../../../en/results/baseball-softball/athlete-profile-n1336392-suzuki-seiya.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,OHNO Y,OHNO Yudai,M,../../../en/results/baseball-softball/athlete-profile-n1336400-ohno-yudai.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,YAMADA T,YAMADA Tetsuto,M,../../../en/results/baseball-softball/athlete-profile-n1336407-yamada-tetsuto.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,MURAKAMI M,MURAKAMI Munetaka,M,../../../en/results/baseball-softball/athlete-profile-n1336408-murakami-munetaka.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,GENDA S,GENDA Sosuke,M,../../../en/results/baseball-softball/athlete-profile-n1336421-genda-sosuke.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,TAIRA K,TAIRA Kaima,M,../../../en/results/baseball-softball/athlete-profile-n1336422-taira-kaima.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,SENGA K,SENGA Koudai,M,../../../en/results/baseball-softball/athlete-profile-n1336429-senga-koudai.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,KAI T,KAI Takuya,M,../../../en/results/baseball-softball/athlete-profile-n1336432-kai-takuya.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,YANAGITA Y,YANAGITA Yuki,M,../../../en/results/baseball-softball/athlete-profile-n1336437-yanagita-yuki.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,KONDOH K,KONDOH Kensuke,M,../../../en/results/baseball-softball/athlete-profile-n1336458-kondoh-kensuke.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,ASAMURA H,ASAMURA Hideto,M,../../../en/results/baseball-softball/athlete-profile-n1336466-asamura-hideto.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,YAMAMOTO Y,YAMAMOTO Yoshinobu,M,../../../en/results/baseball-softball/athlete-profile-n1336474-yamamoto-yoshinobu.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,YOSHIDA M,YOSHIDA Masataka,M,../../../en/results/baseball-softball/athlete-profile-n1336483-yoshida-masataka.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,AOYAGI K,AOYAGI Koyo,M,../../../en/results/baseball-softball/athlete-profile-n1446735-aoyagi-koyo.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,KURIBAYASHI R,KURIBAYASHI Ryoji,M,../../../en/results/baseball-softball/athlete-profile-n1446742-kuribayashi-ryoji.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,KURIHARA R,KURIHARA Ryoya,M,../../../en/results/baseball-softball/athlete-profile-n1446763-kurihara-ryoya.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,ITOH H,ITOH Hiromi,M,../../../en/results/baseball-softball/athlete-profile-n1446766-itoh-hiromi.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,TANAKA M,TANAKA Masahiro,M,../../../en/results/baseball-softball/athlete-profile-n1446772-tanaka-masahiro.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,CARTER A,CARTER Anthony,M,../../../en/results/baseball-softball/athlete-profile-n1460094-carter-anthony.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,DICKSON B,DICKSON Brandon,M,../../../en/results/baseball-softball/athlete-profile-n1460102-dickson-brandon.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,ROBERTSON D,ROBERTSON David,M,../../../en/results/baseball-softball/athlete-profile-n1460123-robertson-david.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,ALVAREZ E,ALVAREZ Eddy,M,../../../en/results/baseball-softball/athlete-profile-n1460131-alvarez-eddy.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,JACKSON JR E,JACKSON JR Edwin,M,../../../en/results/baseball-softball/athlete-profile-n1460132-jackson-jr-edwin.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,MARTINEZ N,MARTINEZ Nick,M,../../../en/results/baseball-softball/athlete-profile-n1460183-martinez-nick.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,FRAZIER T,FRAZIER Todd,M,../../../en/results/baseball-softball/athlete-profile-n1460209-frazier-todd.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,CASAS T,CASAS Triston,M,../../../en/results/baseball-softball/athlete-profile-n1460213-casas-triston.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,FILIA E,FILIA Eric,M,../../../en/results/baseball-softball/athlete-profile-n1471415-filia-eric.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,FEDEROWICZ T,FEDEROWICZ Tim,M,../../../en/results/baseball-softball/athlete-profile-n1471436-federowicz-tim.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,ALLEN N,ALLEN Nick,M,../../../en/results/baseball-softball/athlete-profile-n1888994-allen-nick.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,WESTBROOK J,WESTBROOK Jamie,M,../../../en/results/baseball-softball/athlete-profile-n1888995-westbrook-jamie.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,KOLOZSVARY M,KOLOZSVARY Mark,M,../../../en/results/baseball-softball/athlete-profile-n1888996-kolozsvary-mark.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,AUSTIN T,AUSTIN Tyler,M,../../../en/results/baseball-softball/athlete-profile-n1888997-austin-tyler.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,WOODS RICHARDSON S,WOODS RICHARDSON Simeon,M,../../../en/results/baseball-softball/athlete-profile-n1888998-woods-richardson-simeon.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,RYAN J,RYAN Joe,M,../../../en/results/baseball-softball/athlete-profile-n1888999-ryan-joe.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,BAZ S,BAZ Shane,M,../../../en/results/baseball-softball/athlete-profile-n1889000-baz-shane.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,STARLING B,STARLING Bubba,M,../../../en/results/baseball-softball/athlete-profile-n1889001-starling-bubba.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,LOPEZ J,LOPEZ Jack,M,../../../en/results/baseball-softball/athlete-profile-n1889003-lopez-jack.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,GOSE A,GOSE Anthony,M,../../../en/results/baseball-softball/athlete-profile-n1889004-gose-anthony.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,KAZMIR S,KAZMIR Scott,M,../../../en/results/baseball-softball/athlete-profile-n1889005-kazmir-scott.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,McGOUGH S,McGOUGH Scott,M,../../../en/results/baseball-softball/athlete-profile-n1889006-mcgough-scott.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,KIVLEHAN P,KIVLEHAN Patrick,M,../../../en/results/baseball-softball/athlete-profile-n1889209-kivlehan-patrick.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Silver Medal,2,2021-08-07 00:00:00.0,RYAN R,RYAN Ryder,M,../../../en/results/baseball-softball/athlete-profile-n1889210-ryan-ryder.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,GARCIA J,GARCIA Junior,M,../../../en/results/baseball-softball/athlete-profile-n1896475-garcia-junior.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,CASTILLO L,CASTILLO Luis,M,../../../en/results/baseball-softball/athlete-profile-n1896502-castillo-luis.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,MIESES J,MIESES Johan,M,../../../en/results/baseball-softball/athlete-profile-n1896503-mieses-johan.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,RODRIGUEZ J,RODRIGUEZ Julio,M,../../../en/results/baseball-softball/athlete-profile-n1896504-rodriguez-julio.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,ROSSO R,ROSSO Ramon,M,../../../en/results/baseball-softball/athlete-profile-n1896507-rosso-ramon.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,VALDES R,VALDES Raul,M,../../../en/results/baseball-softball/athlete-profile-n1896508-valdes-raul.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,BALDWIN R,BALDWIN Roldani,M,../../../en/results/baseball-softball/athlete-profile-n1896512-baldwin-roldani.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,SANCHEZ A,SANCHEZ Angel,M,../../../en/results/baseball-softball/athlete-profile-n1899275-sanchez-angel.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,MERCEDES C,MERCEDES Cristopher,M,../../../en/results/baseball-softball/athlete-profile-n1899278-mercedes-cristopher.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,ALVAREZ D,ALVAREZ Dario,M,../../../en/results/baseball-softball/athlete-profile-n1443717-alvarez-dario.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,ARIAS G,ARIAS Gabriel,M,../../../en/results/baseball-softball/athlete-profile-n1443720-arias-gabriel.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,ASENCIO J,ASENCIO Jairo,M,../../../en/results/baseball-softball/athlete-profile-n1443724-asencio-jairo.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,CABRERA M,CABRERA Melky,M,../../../en/results/baseball-softball/athlete-profile-n1443737-cabrera-melky.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,PEREZ Y,PEREZ Yefri,M,../../../en/results/baseball-softball/athlete-profile-n1443761-perez-yefri.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,MARINEZ J,MARINEZ Jhan,M,../../../en/results/baseball-softball/athlete-profile-n1443879-marinez-jhan.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,NUNEZ G,NUNEZ Gustavo,M,../../../en/results/baseball-softball/athlete-profile-n1443898-nunez-gustavo.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,VALERIO C,VALERIO Charlie,M,../../../en/results/baseball-softball/athlete-profile-n1443962-valerio-charlie.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,GUZMAN J,GUZMAN Jeison,M,../../../en/results/baseball-softball/athlete-profile-n1444098-guzman-jeison.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,MEJIA E,MEJIA Erick,M,../../../en/results/baseball-softball/athlete-profile-n1444228-mejia-erick.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,REYES D,REYES Denyi,M,../../../en/results/baseball-softball/athlete-profile-n1444287-reyes-denyi.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,BAUTISTA J,BAUTISTA Jose,M,../../../en/results/baseball-softball/athlete-profile-n1444375-bautista-jose.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,BONIFACIO E,BONIFACIO Emilio,M,../../../en/results/baseball-softball/athlete-profile-n1444376-bonifacio-emilio.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,DIAZ J,DIAZ Jose,M,../../../en/results/baseball-softball/athlete-profile-n1444389-diaz-jose.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,2021-08-07 00:00:00.0,FRANCISCO J,FRANCISCO Juan,M,../../../en/results/baseball-softball/athlete-profile-n1444395-francisco-juan.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
Gold Medal,1,2021-08-07 00:00:00.0,MCGEE J,MCGEE Javale,M,../../../en/results/basketball/athlete-profile-n1312792-mcgee-javale.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,MIDDLETON K,MIDDLETON Khris,M,../../../en/results/basketball/athlete-profile-n1312793-middleton-khris.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,TATUM J,TATUM Jayson,M,../../../en/results/basketball/athlete-profile-n1312794-tatum-jayson.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,DURANT K,DURANT Kevin,M,../../../en/results/basketball/athlete-profile-n1312797-durant-kevin.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,BOOKER D,BOOKER Devin,M,../../../en/results/basketball/athlete-profile-n1312771-booker-devin.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,GREEN D,GREEN Draymond,M,../../../en/results/basketball/athlete-profile-n1312774-green-draymond.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,LILLARD D,LILLARD Damian,M,../../../en/results/basketball/athlete-profile-n1312776-lillard-damian.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,GRANT J,GRANT Jerami,M,../../../en/results/basketball/athlete-profile-n1451325-grant-jerami.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,LAVINE Z,LAVINE Zach,M,../../../en/results/basketball/athlete-profile-n1451355-lavine-zach.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,HOLIDAY J,HOLIDAY Jrue,M,../../../en/results/basketball/athlete-profile-n1471400-holiday-jrue.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,JOHNSON K,JOHNSON Keldon,M,../../../en/results/basketball/athlete-profile-n1918055-johnson-keldon.htm,USA,BKB,Men,United States of America,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,ADEBAYO B,ADEBAYO Bam,M,../../../en/results/basketball/athlete-profile-n1312780-adebayo-bam.htm,USA,BKB,Men,United States of America,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,CORNELIE P,CORNELIE Petr,M,../../../en/results/basketball/athlete-profile-n1891958-cornelie-petr.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,ALBICY A,ALBICY Andrew,M,../../../en/results/basketball/athlete-profile-n1337826-albicy-andrew.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,HEURTEL T,HEURTEL Thomas,M,../../../en/results/basketball/athlete-profile-n1337828-heurtel-thomas.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,NTILIKINA F,NTILIKINA Frank,M,../../../en/results/basketball/athlete-profile-n1337831-ntilikina-frank.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,de COLO N,de COLO Nando,M,../../../en/results/basketball/athlete-profile-n1337834-de-colo-nando.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,FOURNIER E,FOURNIER Evan,M,../../../en/results/basketball/athlete-profile-n1337835-fournier-evan.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,BATUM N,BATUM Nicolas,M,../../../en/results/basketball/athlete-profile-n1337839-batum-nicolas.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,LUWAWU CABARROT T,LUWAWU CABARROT Timothe,M,../../../en/results/basketball/athlete-profile-n1337842-luwawu-cabarrot-timothe.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,YABUSELE G,YABUSELE Guerschon,M,../../../en/results/basketball/athlete-profile-n1337852-yabusele-guerschon.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,FALL M,FALL Moustapha,M,../../../en/results/basketball/athlete-profile-n1337853-fall-moustapha.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,GOBERT R,GOBERT Rudy,M,../../../en/results/basketball/athlete-profile-n1337854-gobert-rudy.htm,FRA,BKB,Men,France,Basketball
Silver Medal,2,2021-08-07 00:00:00.0,POIRIER V,POIRIER Vincent,M,../../../en/results/basketball/athlete-profile-n1337858-poirier-vincent.htm,FRA,BKB,Men,France,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,GREEN J,GREEN Josh,M,../../../en/results/basketball/athlete-profile-n1326472-green-josh.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,BAYNES A,BAYNES Aron,M,../../../en/results/basketball/athlete-profile-n1326474-baynes-aron.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,DELLAVEDOVA M,DELLAVEDOVA Matthew,M,../../../en/results/basketball/athlete-profile-n1326479-dellavedova-matthew.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,EXUM D,EXUM Dante,M,../../../en/results/basketball/athlete-profile-n1326481-exum-dante.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,GOULDING C,GOULDING Chris,M,../../../en/results/basketball/athlete-profile-n1326482-goulding-chris.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,INGLES J,INGLES Joe,M,../../../en/results/basketball/athlete-profile-n1326484-ingles-joe.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,KAY N,KAY Nic,M,../../../en/results/basketball/athlete-profile-n1326485-kay-nic.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,LANDALE J,LANDALE Jock,M,../../../en/results/basketball/athlete-profile-n1326486-landale-jock.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,MILLS P,MILLS Patty,M,../../../en/results/basketball/athlete-profile-n1326488-mills-patty.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,THYBULLE M,THYBULLE Matisse,M,../../../en/results/basketball/athlete-profile-n1326490-thybulle-matisse.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,REATH D,REATH Duop Thomas,M,../../../en/results/basketball/athlete-profile-n1483479-reath-duop-thomas.htm,AUS,BKB,Men,,Basketball
Bronze Medal,3,2021-08-07 00:00:00.0,SOBEY N,SOBEY Nathan,M,../../../en/results/basketball/athlete-profile-n1729970-sobey-nathan.htm,AUS,BKB,Men,,Basketball
Gold Medal,1,2021-08-07 00:00:00.0,MOL AB,MOL Anders Berntsen,M,../../../en/results/beach-volleyball/athlete-profile-n1343608-mol-anders-berntsen.htm,NOR,VBV,Men,Norway,Beach Volleyball
Gold Medal,1,2021-08-07 00:00:00.0,SORUM CS,SORUM Christian Sandlie,M,../../../en/results/beach-volleyball/athlete-profile-n1343609-sorum-christian-sandlie.htm,NOR,VBV,Men,Norway,Beach Volleyball
